Time,Setpoint,Winch Distance,Wall Distance,Winch Action,Side Action
791762,45,45.859104,54.948452,400,0
791872,45,48.599656,53.505152,634,0
791983,45,47.925256,57.628864,400,0
792092,45,48.876716,54.83677,482,0
792202,45,46.654852,57.3840168,400,0
792312,45,45.05423,59.808844,400,0
792422,45,44.7522,61.0040768,400,0
792532,45,45.305652,56.541556,400,0
792642,45,46.286848,54.129884,400,0
792751,45,48.04892,52.992776,481,0
792861,45,47.3492,52.49295,400,0
792970,45,46.698656,52.303176,400,0
793080,45,45.668916,52.242652,400,0
793190,45,44.458168,56.80861,400,0
793299,45,44.754856,55.732484,0,0
793409,None,44.301828,53.75112,1023,1
793518,None,44.2814968,52.81199,1023,1
793627,None,44.769616,52.402556,1023,1
793736,None,44.09443,52.24939,1023,1
793844,None,43.756836,52.23294,1023,1
793954,None,43.80282,57.207536,1023,1
794063,None,45.62993,54.5316,1023,1
794172,None,45.6414268,53.2451816,1023,1
794281,None,44.64202,52.67929,1023,1
794390,None,47.31242,52.241708,1023,1
794499,None,47.58233,52.065872,1023,1
794608,None,47.725872,52.03809,1023,1
794717,None,46.491804,51.87815,1023,1
794826,None,45.866176,51.841136,1023,1
794936,None,46.16333,55.77452,1023,1
795045,None,46.16333,54.150148,1023,1
795154,None,46.5095,53.157548,1023,1
795263,None,46.081208,52.489424,1023,1
795372,None,45.154008,52.421688,1023,1
795481,None,44.295216,52.250364,1023,1
795590,None,45.88472,52.199068,1023,1
795699,None,45.0643552,52.001596,1023,1
795808,None,45.15245,51.937224,1023,1
795917,None,45.205092,51.947996,1023,1
796026,None,44.621444,52.013516,1023,1
796135,None,44.5272136,51.89164,1023,1
796244,None,45.493848,51.89084,1023,1
796353,None,47.566512,52.13958,1023,1
796462,None,46.205936,52.324084,1023,1
796571,None,45.31946,52.03833,1023,1
796680,None,45.280008,52.144592,1023,1
796789,None,46.16234,52.034492,1023,1
796898,None,47.720344,52.03958,1023,1
797008,None,47.58869,52.102264,1023,1
797117,None,51.174072,52.18515,1023,1
797226,None,50.406624,52.05477,1023,1
797334,None,46.72393,52.05477,1023,1
797442,None,48.172964,52.05477,1023,1
797550,None,48.717064,43.304016,1023,1
797658,None,49.17812,43.304016,1023,0
797765,18.824742,47.41552,43.304016,1023,0
797873,18.824742,46.94659,34.564376,1023,0
797982,18.824742,48.37879,30.168786,1023,0
798090,18.824742,49.000392,28.177176,1023,0
798198,18.824742,48.727,28.667626,1023,0
798306,18.824742,46.27931,27.950652,1023,0
798414,18.824742,46.060616,28.073264,1023,0
798522,18.824742,45.659172,26.399174,1023,0
798630,18.824742,45.75914,26.3611,1023,0
798738,18.824742,45.29366,26.213196,1023,0
798847,18.824742,46.06607,26.800754,1023,0
798955,18.824742,48.96087,27.721684,1023,0
799063,18.824742,46.104144,26.850532,1023,0
799171,18.824742,46.583,26.062724,1023,0
799279,18.824742,46.583,25.625862,1023,0
799386,18.824742,45.215896,25.733894,1023,0
799495,18.824742,47.513448,25.856638,1023,0
799603,18.824742,45.878716,25.926602,1023,0
799711,18.824742,44.95826,25.755398,1023,0
799818,18.824742,44.394936,25.884572,1023,0
799926,18.824742,42.919116,27.134726,1023,0
800034,18.824742,42.877084,26.6086,1023,0
800142,18.824742,42.744384,26.2166708,1023,0
800250,18.824742,42.3257968,25.72002,1023,0
800358,18.824742,41.5495,25.7552,1023,0
800465,18.824742,40.809112,25.798562,1023,0
800573,18.824742,39.631364,25.785878,1023,0
800680,18.824742,38.92221,25.779538,1023,0
800788,18.824742,39.26351,25.845094,1023,0
800896,18.824742,38.61801,25.91224,1023,0
801003,18.824742,38.415536,25.94581,1023,0
801111,18.824742,38.202612,25.99696,1023,0
801219,18.824742,41.12021,26.237312,1023,0
801326,18.824742,40.706152,26.580856,1023,0
801434,18.824742,40.15548,26.546442,593,0
801542,18.824742,38.496984,26.4175508,651,0
801649,18.824742,37.324092,26.576474,770,0
801758,18.824742,37.324092,26.492702,651,0
801866,18.824742,37.66548,26.492702,973,0
801974,18.824742,37.251984,30.626076,478,0
802083,18.824742,38.196436,30.626076,538,0
802191,18.824742,38.093064,28.594826,565,0
802298,18.824742,37.12213,28.240712,1023,0
802407,18.824742,36.5078,28.240712,1023,0
802515,18.824742,36.08036,27.110046,739,0
802622,18.824742,35.729184,26.484578,885,0
802730,18.824742,36.283836,26.283526,564,0
802837,18.824742,35.976968,26.0369532,713,0
802944,18.824742,34.113916,25.54425,480,0
803052,18.824742,33.706444,25.684496,421,0
803159,18.824742,32.72951,25.737438,739,0
803266,18.824742,34.431768,25.875592,710,0
803374,18.824742,33.607636,25.944668,507,0
803481,18.824742,33.066704,25.970616,799,0
803588,18.824742,32.01445,25.957818,1023,0
803695,18.824742,32.433342,25.925644,400,0
803802,18.824742,32.479556,25.952512,400,0
803910,18.824742,32.3738,26.017494,400,0
804017,18.824742,32.844976,26.067166,400,0
804124,18.824742,32.68537,26.092002,400,0
804231,18.824742,31.170864,26.42229,400,0
804339,18.824742,30.937666,26.42229,400,0
804447,18.824742,30.6922,26.32111,400,0
804554,18.824742,30.440602,26.098698,400,0
804661,18.824742,29.919612,30.386118,400,0
804768,18.824742,30.174584,28.217114,400,0
804875,18.824742,29.778014,27.0467,400,0
804982,18.824742,29.459454,26.409946,0,0
805090,18.824742,29.557906,27.29432,1023,0
805198,18.824742,29.557906,26.602486,1023,0
805305,18.824742,29.735996,26.299524,1023,0
805412,18.824742,29.429854,26.062134,1023,0
805519,18.824742,29.800838,26.149624,1023,0
805626,18.824742,29.470868,26.227734,1023,0
805734,18.824742,27.115158,26.086376,1023,0
805840,18.824742,26.2294,26.067242,1023,0
805947,18.824742,26.379304,26.58173,1023,0
806054,18.824742,25.861474,26.7187,1023,0
806161,18.824742,27.209088,26.25454,1023,0
806268,18.824742,25.408668,26.005276,1023,0
806375,18.824742,24.8091452,25.93219,1023,0
806482,18.824742,24.64684,25.818328,1023,0
806589,18.824742,24.64684,25.804354,1023,0
806696,18.824742,26.885274,25.934822,1023,0
806803,18.824742,26.552602,25.828236,1023,0
806910,18.824742,27.116508,25.75776,1023,0
807017,18.824742,25.791932,25.8771616,1023,0
807124,18.824742,25.877064,25.283942,1023,0
807230,18.824742,24.751248,25.236474,1023,0
807337,18.824742,23.896242,25.178376,1023,0
807444,18.824742,25.058086,25.312556,1023,0
807551,18.824742,25.492962,24.907136,1023,0
807661,18.824742,24.696652,24.953568,1023,0
807768,18.824742,25.75898,24.933828,1023,0
807875,18.824742,27.707668,24.614682,668,0
807982,18.824742,24.919126,24.223148,1023,0
808088,18.824742,23.825542,24.078928,1023,0
