Time,Setpoint,Winch Distance,Wall Distance,Winch Action,Side Action
526441,45,43.659792,52.130584,400,0
526551,45,44.768044,52.130584,400,0
526661,45,44.21392,52.130584,400,0
526771,45,44.632732,57.121992,0,0
526880,None,44.85073,54.64347,1023,1
526990,None,46.463164,53.19802,1023,1
527099,None,45.56835,52.71585,1023,1
527208,None,45.516136,53.445556,1023,1
527317,None,45.49862,52.77948,1023,1
527426,None,45.08608,52.489396,1023,1
527535,None,44.871216,54.371844,1023,1
527644,None,44.97856,53.21685,1023,1
527753,None,45.032236,52.48471,1023,1
527862,None,45.050484,53.707992,1023,1
527972,None,44.86201,58.03097,1023,1
528081,None,44.96537,55.123732,1023,1
528190,None,44.810864,57.381456,1023,1
528299,None,44.53602,55.16839,1023,1
528408,None,44.398592,53.67526,1023,1
528517,None,44.527472,57.98024,1023,1
528627,None,44.39432,59.943724,1023,1
528872,None,44.319152,60.66774,1023,1
528981,None,44.496344,56.588164,1023,1
529090,None,44.57635,54.359376,1023,1
529199,None,44.616356,53.08175,1023,1
529307,None,44.636356,52.74362,1023,1
529416,None,44.646356,52.205144,1023,1
529525,None,44.659948,50.286424,1023,1
529634,None,44.8643384,51.071044,1023,1
529743,None,44.966532,51.755456,1023,1
529852,None,45.026224,51.73683,1023,1
529961,None,45.038884,51.744704,1023,1
530071,None,45.053808,51.744704,1023,1
530180,None,45.267452,51.744704,1023,1
530289,None,45.1595,51.963416,1023,1
530398,None,44.90793,52.064184,1023,1
530507,None,44.988328,52.123152,1023,1
530617,None,44.839524,56.903504,1023,1
530726,None,44.74794,60.178556,1023,1
530835,None,44.899744,55.965564,1023,1
530944,None,44.975644,53.893432,1023,1
531053,None,44.833184,54.601356,1023,1
531162,None,45.148552,53.340196,1023,1
531271,None,45.306236,52.529204,1023,1
531380,None,45.39367,52.175256,1023,1
531489,None,45.420204,52.702748,1023,1
531598,None,45.442064,52.37371,1023,1
531707,None,45.2553952,52.03737,1023,1
531816,None,45.359656,51.886384,1023,1
531926,None,45.359656,51.845252,1023,1
532035,None,45.008008,53.21644,1023,1
532144,None,45.03837,52.467324,1023,1
532253,None,45.251144,52.324728,1023,1
532362,None,45.555124,54.69329,1023,1
532471,None,46.110892,53.36898,1023,1
532580,None,45.778816,52.552184,1023,1
532689,None,46.712432,52.367156,1023,1
532799,None,45.89058,57.24028,1023,1
532908,None,45.273468,56.12873,1023,1
533017,None,44.06285,53.91488,1023,1
533125,None,44.75479,50.90933,1023,1
533234,None,44.009696,51.3825,1023,1
533343,None,43.199004,51.696404,988,1
533452,None,40.84349,51.7073068,962,1
533561,None,42.457824,51.747124,1023,1
533670,None,42.64644,52.70346,1023,1
533779,None,43.144524,52.37407,832,1
533887,None,42.99838,52.046144,1023,1
533996,None,44.23974,50.198328,909,1
534105,None,44.86042,51.267548,1023,1
534214,None,44.26011,51.638928,1023,1
534323,None,44.870604,49.539396,1023,1
534432,None,45.16726,50.66317,858,1
534541,None,45.1094,50.66317,830,1
534650,None,45.29525,51.20787,715,1
534759,None,45.57718,49.538644,858,1
534868,None,45.71814,53.729804,1023,1
534977,None,44.48278,51.45253,1023,1
535085,None,43.667508,47.530388,744,1
535194,None,43.96434,45.638048,541,1
535303,None,44.104164,49.08191,832,1
535411,None,43.46961,46.233396,804,1
535520,None,43.55611,44.809136,658,1
535628,None,43.59936,43.8994136,540,1
535736,None,43.2258,45.05108,660,1
535845,None,43.434204,44.06334,629,1
535953,None,39.7927,43.66397,571,1
536060,None,38.667828,41.642984,913,1
536168,None,38.105392,40.469256,400,1
536276,None,37.77263,41.832564,600,1
536384,None,38.104528,39.576076,935,1
