timestamp,target,distance_cm,motor_action
169,30,29.140894,hold
170,30,29.140894,hold
171,30,29.140894,hold
172,30,29.91409,hold
173,30,29.93127,hold
174,10,29.91409,raise
175,10,29.415808,raise
176,10,28.591064,raise
177,10,28.5567,raise
178,10,28.281786,raise
179,10,28.281786,raise
180,10,27.42268,raise
181,10,27.405498,raise
182,10,26.52921,raise
183,10,26.52921,raise
184,10,25.65292,raise
185,10,25.670104,raise
186,10,24.793814,raise
187,10,23.900342,raise
188,10,23.917526,raise
189,10,23.917526,raise
190,10,22.74914,raise
191,10,22.74914,raise
192,10,21.821306,raise
193,10,21.821306,raise
194,10,21.821306,raise
195,10,20.859106,raise
196,10,20.859106,raise
197,10,19.570446,raise
198,10,19.58763,raise
199,10,18.591064,raise
200,10,18.934708,raise
201,10,17.972508,raise
202,10,17.01031,raise
203,10,16.04811,raise
204,10,16.357388,raise
205,10,16.357388,raise
206,10,15.721649,raise
207,10,15.721649,raise
208,10,14.6907216,raise
209,10,15.034364,raise
210,10,14.003436,raise
211,10,12.989691,raise
212,10,13.659794,raise
213,10,11.254295,raise
214,10,11.597938,raise
215,10,10.584192,hold
216,10,10.56701,hold
217,10,9.536082,hold
218,10,9.553265,hold
219,10,9.536082,hold
220,10,9.553265,hold
221,10,9.553265,hold
222,10,9.553265,hold
223,10,9.553265,hold
224,10,9.553265,hold
225,10,9.553265,hold
226,10,9.553265,hold
227,10,9.553265,hold
228,10,9.553265,hold
229,10,9.570447,hold
230,10,9.536082,hold
231,10,9.536082,hold
