timestamp,target,distance_cm,motor_action
44,20,49.5188984,raise
45,20,50,raise
46,20,49.312712,raise
47,20,57.18213,raise
48,20,49.86254,raise
49,20,50.704468,raise
50,20,50.034364,raise
51,20,48.900344,raise
52,20,48.29897,raise
53,20,49.312712,raise
54,20,48.694156,raise
55,20,47.680412,raise
56,20,47.49141,raise
57,20,46.28866,raise
58,20,46.082472,raise
59,20,45.89347,raise
60,20,46.082472,raise
61,20,46.271476,raise
62,20,47.302408,raise
63,20,47.49141,raise
64,20,45.89347,raise
65,20,47.886596,raise
66,20,44.67354,raise
67,20,44.86254,raise
68,20,43.676976,raise
69,20,43.88316,raise
70,20,44.072164,raise
71,20,43.281788,raise
72,20,42.869416,raise
73,20,42.164948,raise
74,20,42.18213,raise
75,20,41.46048,raise
76,20,41.47766,raise
77,20,40.79038,raise
78,20,40.32646,raise
79,20,40.343644,raise
80,20,39.86254,raise
81,20,39.398624,raise
82,20,38.95189,raise
83,20,38.487972,raise
84,20,38.47079,raise
85,20,37.302408,raise
86,20,36.872852,raise
87,20,36.85567,raise
88,20,38.024056,raise
89,20,37.56014,raise
90,20,35.927832,raise
91,20,35.395188,raise
92,20,35.17182,raise
93,20,34.381444,raise
94,20,34.381444,raise
95,20,34.381444,raise
96,20,34.896908,raise
97,20,33.333332,raise
98,20,33.350512,raise
99,20,32.525772,raise
100,20,31.769758,raise
101,20,31.237112,raise
102,20,31.254296,raise
103,20,30.72165,raise
104,20,30.72165,raise
105,20,30.171822,raise
106,20,29.415808,raise
107,20,28.865978,raise
108,20,27.98969,raise
109,20,28.281786,raise
110,20,27.697594,raise
111,20,27.98969,raise
112,20,27.405498,raise
113,20,25.65292,raise
114,20,24.19244,raise
115,20,23.62543,raise
116,20,22.74914,raise
117,20,22.147766,raise
118,20,21.185566,raise
119,20,21.512028,raise
120,20,20.532646,hold
121,20,20.532646,hold
122,20,19.896908,hold
123,20,19.896908,hold
124,20,19.570446,hold
125,20,19.570446,hold
126,20,19.58763,hold
127,20,19.570446,hold
128,20,20.859106,hold
129,20,19.896908,hold
130,20,19.58763,hold
131,20,19.570446,hold
132,20,19.570446,hold
133,20,19.570446,hold
134,20,20.859106,hold
135,20,20.859106,hold
136,20,19.570446,hold
137,20,19.570446,hold
138,20,19.58763,hold
139,30,19.58763,lower
140,30,19.896908,lower
141,30,20.841924,lower
142,30,21.494844,lower
143,30,22.147766,lower
144,30,22.74914,lower
145,30,23.31615,lower
146,30,24.209622,lower
147,30,24.776632,lower
148,30,25.378006,lower
149,30,26.254296,lower
150,30,26.254296,lower
151,30,26.254296,lower
152,30,27.113402,lower
153,30,27.697594,lower
154,30,27.98969,lower
155,30,28.865978,lower
156,30,28.883162,lower
157,30,29.398624,hold
158,30,29.673538,hold
159,30,29.415808,hold
160,30,29.93127,hold
161,30,29.140894,hold
162,30,29.140894,hold
163,30,29.158076,hold
164,30,29.948454,hold
165,30,29.93127,hold
166,30,29.91409,hold
167,30,29.93127,hold
168,30,29.91409,hold
169,30,29.140894,hold
170,30,29.140894,hold
171,30,29.140894,hold
172,30,29.91409,hold
173,30,29.93127,hold
174,10,29.91409,raise
175,10,29.415808,raise
176,10,28.591064,raise
177,10,28.5567,raise
178,10,28.281786,raise
179,10,28.281786,raise
180,10,27.42268,raise
181,10,27.405498,raise
182,10,26.52921,raise
183,10,26.52921,raise
184,10,25.65292,raise
185,10,25.670104,raise
186,10,24.793814,raise
187,10,23.900342,raise
188,10,23.917526,raise
189,10,23.917526,raise
190,10,22.74914,raise
191,10,22.74914,raise
192,10,21.821306,raise
193,10,21.821306,raise
194,10,21.821306,raise
195,10,20.859106,raise
196,10,20.859106,raise
197,10,19.570446,raise
198,10,19.58763,raise
199,10,18.591064,raise
200,10,18.934708,raise
201,10,17.972508,raise
202,10,17.01031,raise
203,10,16.04811,raise
204,10,16.357388,raise
205,10,16.357388,raise
206,10,15.721649,raise
207,10,15.721649,raise
208,10,14.6907216,raise
209,10,15.034364,raise
210,10,14.003436,raise
211,10,12.989691,raise
212,10,13.659794,raise
213,10,11.254295,raise
214,10,11.597938,raise
215,10,10.584192,hold
216,10,10.56701,hold
217,10,9.536082,hold
218,10,9.553265,hold
219,10,9.536082,hold
220,10,9.553265,hold
221,10,9.553265,hold
222,10,9.553265,hold
223,10,9.553265,hold
224,10,9.553265,hold
225,10,9.553265,hold
226,10,9.553265,hold
227,10,9.553265,hold
228,10,9.553265,hold
229,10,9.570447,hold
230,10,9.536082,hold
231,10,9.536082,hold
