timestamp,target,distance_cm,motor_action
0,20,4.2783504,lower
0,20,2.9725086,lower
0,20,2.3195876,lower
0,20,2.646048,lower
0,20,1.6666666,lower
0,20,2.3367698,lower
0,20,1.993127,lower
1,20,1.993127,lower
1,20,2.0103092,lower
1,20,1.993127,lower
1,20,1.993127,lower
1,20,1.975945,lower
1,20,1.993127,lower
1,20,1.993127,lower
1,20,1.993127,lower
2,20,1.993127,lower
2,20,2.0103092,lower
2,20,2.0103092,lower
2,20,2.0103092,lower
2,20,2.0103092,lower
2,20,1.993127,lower
2,20,2.0103092,lower
2,20,1.993127,lower
2,20,2.0103092,lower
3,20,1.993127,lower
3,20,2.0103092,lower
3,20,16.357388,lower
3,20,9.209621,lower
3,20,17.628866,lower
4,20,15.704467,lower
4,20,11.237113,lower
4,20,37.027492,raise
4,20,16.666666,lower
4,20,16.649484,lower
4,20,18.264604,lower
4,20,20.1890032,hold
4,20,16.993128,lower
5,20,17.302404,lower
5,20,16.666666,lower
5,20,20.1890032,hold
5,20,17.302404,lower
5,20,17.628866,lower
5,20,16.666666,lower
5,20,16.340206,lower
6,20,17.302404,lower
6,20,18.281786,lower
6,20,17.628866,lower
6,20,17.955326,lower
6,20,16.357388,lower
6,20,16.666666,lower
6,20,16.030928,lower
6,20,19.226804,hold
7,20,17.319588,lower
7,20,17.955326,lower
7,20,16.340206,lower

